"ra","dec","magnitude","class","z","x","y"
"162.76335","27.317838","21.5064","GALAXY","0.7414608","-89.12308","-235.065"
"164.29912","28.099438","21.50742","QSO","0.7974788","206.5847","-64.03439"
"164.33358","29.193245","21.50981","QSO","0.9655734","211.102","174.3433"
"162.86581","29.837646","21.51228","GALAXY","0.7074772","-67.74011","314.2108"
"164.74125","28.115509","21.5143","GALAXY","0.8348683","291.7389","-59.67935"
"163.86859","28.843751","21.51652","GALAXY","0.2519442","122.9505","97.44844"
"162.9578","28.00175","21.51763","GALAXY","0.7401633","-51.09733","-86.07468"
"163.73662","28.078709","21.51781","GALAXY","0.7794801","98.45915","-69.19875"
"163.86432","29.526659","21.53081","GALAXY","0.7850736","121.4472","246.3487"
"164.24546","27.503384","21.54875","GALAXY","1.101921","197.469","-194.0482"
"164.172","28.500777","21.55093","GALAXY","0.9816762","181.4359","23.1687"
"164.74077","28.983743","21.55142","GALAXY","0.7628583","289.3926","129.654"
"164.17664","27.317483","21.55247","GALAXY","0.2967211","184.5515","-234.7559"
"163.95848","27.729912","21.55281","GALAXY","0.8376023","141.6172","-144.9924"
"162.86695","28.426331","21.55395","QSO","0.7757547","-68.2548","6.346219"
"162.59098","29.742134","21.55977","GALAXY","0.9388122","-119.8403","293.5583"
"163.3269","26.931037","21.56005","GALAXY","0.9395458","20.05139","-319.886"
"161.64841","28.575513","21.56078","GALAXY","0.7793199","-301.6115","40.77068"
"162.92977","27.246767","21.5629","GALAXY","0.7892324","-56.95115","-250.6621"
"164.4767","29.037606","21.56672","GALAXY","0.898511","238.6945","140.703"
"162.82153","29.026296","21.56767","GALAXY","0.8201424","-76.57422","136.9946"
"162.96309","26.942589","21.56894","GALAXY","1.18491","-50.69672","-317.3261"
"163.08717","27.24661","21.57004","GALAXY","0.7024351","-26.46277","-250.7398"
"162.94474","28.226076","21.57173","GALAXY","0.7456855","-53.47505","-37.24852"
"163.10027","28.021382","21.57309","GALAXY","0.9677526","-23.72191","-81.83553"
"163.72744","29.195995","21.57442","GALAXY","0.8086423","95.74185","174.0624"
"163.54149","27.032491","21.57474","GALAXY","0.8726494","61.69985","-297.5552"
"162.03039","29.246916","21.57969","GALAXY","0.81265","-226.9663","186.2678"
"162.52145","27.69405","21.58617","GALAXY","0.780739","-135.4318","-152.8307"
"163.02483","28.347561","21.5876","GALAXY","1.286347","-38.0769","-10.85476"
"163.425","27.128189","21.58847","GALAXY","1.11877","39.02415","-276.6107"
"162.11617","28.673276","21.59157","GALAXY","0.869998","-211.6495","61.02098"
"162.64234","28.939547","21.59843","GALAXY","1.064923","-110.7804","118.2559"
"163.06119","29.682447","21.60033","GALAXY","0.8139055","-30.78997","280.0249"
"163.87521","29.584893","21.60046","GALAXY","0.7628379","123.465","259.0986"
"161.78652","28.400383","21.62483","GALAXY","0.3171925","-275.4828","2.253822"
"162.62786","28.991273","21.62787","GALAXY","0.8005472","-113.4925","129.5422"
"163.75839","28.788103","21.6284","GALAXY","0.782296","101.9669","85.21055"
"163.32019","28.890087","21.62851","QSO","0.714794","18.36135","107.1622"
"163.91417","28.849229","21.62907","QSO","1.915045","131.644","98.69585"
"163.76256","28.069194","21.62944","QSO","1.139368","103.4548","-71.25208"
"162.99343","28.037758","21.63111","QSO","0.9183615","-44.23347","-78.24612"
"162.36691","27.672629","21.63295","GALAXY","1.427342","-165.2886","-157.3274"
"164.22114","27.419595","21.6331","GALAXY","0.8515102","192.9471","-212.3796"
"163.14793","28.02876","21.6367","GALAXY","0.9495322","-14.56836","-80.23542"
"163.31489","28.690581","21.64261","GALAXY","0.7826723","17.37723","63.72224"
"163.39551","28.800755","21.64381","QSO","1.10738","32.73283","87.72533"
"163.38134","28.406688","21.64511","GALAXY","0.8655705","30.12804","1.988204"
"163.17002","29.055866","21.64586","GALAXY","1.120273","-10.23435","143.2849"
"164.45709","28.317209","21.64828","GALAXY","0.7979658","236.4808","-16.31697"
"161.64933","28.216998","21.65077","GALAXY","0.9590796","-302.4594","-37.39869"
"162.48921","29.48952","21.65876","GALAXY","0.7966418","-139.3392","238.3731"
